molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,MolLogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1213691,O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)c(=O)[nH]c23)cc1F)Nc1cc(C(F)(F)F)ccc1F,active,493.34800000000007,4.3447000000000005,4,5,8.301029995663981
CHEMBL1213692,O=C(Nc1ccc(Oc2ccnc3[nH]nnc23)cc1F)Nc1cc(C(F)(F)F)ccc1F,active,450.32700000000006,5.086200000000001,3,5,7.161150909262744
CHEMBL1213753,O=C(Nc1ccc(Oc2ccnc3[nH]cnc23)cc1F)Nc1cc(C(F)(F)F)ccc1F,active,449.33900000000006,5.691200000000001,3,4,7.376750709602099
CHEMBL1212949,O=C(Nc1ccc(Oc2ccnc3[nH]c(S)nc23)cc1F)Nc1cc(C(F)(F)F)ccc1F,active,481.4060000000001,5.979900000000002,4,5,7.769551078621726
CHEMBL1213754,CN(C)c1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)ccnc2[nH]1,active,492.4080000000001,5.757200000000003,3,5,7.6020599913279625
CHEMBL1213755,CN(C)Cc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)ccnc2[nH]1,active,506.4350000000001,5.752800000000003,3,5,6.136677139879544
CHEMBL1213821,O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)cnc23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,active,475.814,5.426600000000002,3,5,7.958607314841775
CHEMBL1213822,O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)c(=O)[nH]c23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,active,491.81300000000005,4.719900000000002,4,5,7.6777807052660805
CHEMBL1213823,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)cc2)cc1,active,509.5700000000003,5.546020000000005,3,7,6.598599459218456
CHEMBL1213824,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)cnc23)cc1F,active,493.80400000000014,5.565700000000001,3,5,8.221848749616356
CHEMBL1213884,Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccnc3[nH]c(=O)cnc23)cc1F,active,451.46200000000016,3.924500000000001,3,7,7.769551078621726
CHEMBL1213885,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(=O)[nH]c34)cc2F)n(-c2ccccc2)n1,active,529.5320000000002,4.670000000000002,4,7,6.721246399047171
CHEMBL1213886,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(N)nc34)cc2F)cc1,active,542.5750000000004,5.267320000000003,4,8,6.494850021680094
CHEMBL1213951,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)cc2F)cc1,active,527.5600000000003,5.685120000000005,3,7,7.1938200260161125
CHEMBL1212951,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(=O)[nH]c34)cc2F)cc1,active,543.5590000000003,4.978420000000003,4,7,7.045757490560675
CHEMBL1213952,CSc1cc(Oc2ccnc3[nH]c(=O)cnc23)ccc1NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,active,521.9080000000001,6.148500000000002,3,6,8.397940008672037
CHEMBL1213998,CSc1cc(Oc2ccnc3[nH]c(=O)c(=O)[nH]c23)ccc1NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,active,537.9070000000002,5.4418000000000015,4,6,8.522878745280337
CHEMBL1213999,CSc1cc(Oc2ccnc3[nH]c(=O)cnc23)ccc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,active,505.4530000000001,5.634200000000002,3,6,8.397940008672037
CHEMBL1214000,CSc1cc(Oc2ccnc3[nH]c(=O)c(=O)[nH]c23)ccc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,active,521.4520000000001,4.927500000000002,4,6,8.698970004336019
CHEMBL1214001,CSc1cc(Oc2ccnc3[nH]c(=O)c(C)nc23)ccc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,active,519.4800000000001,5.942620000000002,3,6,8.698970004336019
CHEMBL1214055,CSc1cc(Oc2ccnc3[nH]c(=O)c(C)nc23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1,active,555.6640000000003,6.267920000000005,3,8,7.698970004336019
CHEMBL1214056,CSc1cc(Oc2ccnc3[nH]c(=O)cnc23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc(C)cc1,active,555.6640000000002,6.267920000000005,3,8,7.721246399047171
CHEMBL1214057,CSc1cc(Oc2ccnc3[nH]c(=O)c(C)nc23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc(C)cc1,active,569.6910000000003,6.5763400000000045,3,8,7.619788758288394
CHEMBL1214058,Cc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c4ccccc34)ccnc2[nH]c1=O,active,523.4460000000001,6.373920000000002,3,5,8.397940008672037
CHEMBL1214129,Nc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c4ccccc34)ccnc2[nH]c1=O,active,524.4340000000001,5.647700000000002,4,6,8.301029995663981
